-4862.3423	40	50	180
-4051.3877	80	100	200
-3510.7512	105	130	225
-3240.433	  100	200	240
-2970.1147	110	215	240
-2834.9556	150	220	215
-2699.7966	170	220	185
-2564.6375	210	225	170
-2429.4783	235	215	150
-2294.319	  240	195	145
-2159.1602	240	165	125
-2024.001	  240	185	165
-1888.8418	240	215	200
-1618.5237	240	220	200
-1348.2053	230	235	240
-1131.9509	240	255	255
-1.0	      199	224	207
0.0	        90	140	100
150.0	      130	175	100
500.0	      160	205	100
1000.0	    205	205	140
2000.0	    225	182	100
6000.0	    245	245	245
